alert_type,delay_impact,safety_risk,affected_trains,route_busy,peak_hour,priority
signal_failure,29.37,0.5271,14,1,0,Critical
weather_alert,2.69,0.2618,15,1,1,High
weather_alert,22.13,0.3771,9,0,0,High
engine_issue,41.66,0.0805,10,0,0,Low
engine_issue,2.29,0.109,4,0,1,Low
passenger_emergency,26.45,0.0878,9,1,0,Medium
signal_failure,4.54,0.3572,11,1,1,Critical
weather_alert,1.84,0.5154,3,1,0,High
track_fault,1.55,0.2942,13,0,0,Medium
signal_failure,7.79,0.7279,12,1,1,Critical
engine_issue,0.22,0.2969,16,1,1,High
passenger_emergency,4.22,0.4783,1,0,0,Medium
weather_alert,7.83,0.201,5,1,1,Medium
weather_alert,8.79,0.2031,9,1,0,Medium
weather_alert,3.47,0.1774,17,1,0,Medium
weather_alert,5.74,0.1627,5,1,1,Medium
engine_issue,3.03,0.5049,19,0,0,Critical
signal_failure,4.18,0.0861,19,0,0,Low
passenger_emergency,17.97,0.1424,2,0,0,Low
engine_issue,8.02,0.6565,7,1,0,Critical
engine_issue,20.48,0.4456,5,1,0,Critical
track_fault,4.15,0.2278,10,1,0,Medium
signal_failure,0.41,0.3306,18,0,0,Medium
passenger_emergency,11.57,0.2466,8,0,0,Low
weather_alert,18.87,0.4533,13,1,1,Critical
weather_alert,1.5,0.1629,3,1,0,Low
engine_issue,16.98,0.143,11,0,0,Low
passenger_emergency,1.84,0.2115,7,0,0,Low
engine_issue,5.38,0.493,18,1,1,Critical
engine_issue,12.23,0.0966,15,0,0,Low
engine_issue,1.52,0.4404,5,1,0,High
track_fault,14.63,0.2648,12,0,1,High
signal_failure,11.41,0.1782,7,0,0,Low
engine_issue,16.08,0.5069,9,0,0,High
passenger_emergency,1.2,0.1386,9,1,1,Medium
signal_failure,4.36,0.4473,16,0,1,Critical
passenger_emergency,24.69,0.4233,6,0,1,Critical
passenger_emergency,0.36,0.2749,1,0,1,Low
track_fault,26.12,0.728,4,0,1,Critical
weather_alert,19.57,0.1099,16,1,1,High
signal_failure,1.46,0.1623,6,1,1,Medium
weather_alert,2.51,0.3729,2,1,1,High
weather_alert,22.54,0.5006,8,1,0,Critical
track_fault,9.9,0.6098,17,0,0,Critical
signal_failure,8.23,0.5166,17,1,1,Critical
passenger_emergency,4.67,0.392,19,1,0,Critical
engine_issue,8.58,0.5375,13,0,1,Critical
passenger_emergency,6.66,0.0742,16,1,0,Low
weather_alert,7.93,0.145,15,0,1,Medium
weather_alert,26.65,0.0915,1,1,0,Low
weather_alert,0.52,0.2911,8,0,1,Medium
signal_failure,32.8,0.3685,10,1,1,Critical
track_fault,5.07,0.1207,9,0,1,Low
engine_issue,4.98,0.3805,16,0,1,High
engine_issue,16.98,0.2652,19,1,1,Critical
signal_failure,29.44,0.2641,11,0,0,Medium
engine_issue,12.26,0.3254,2,1,0,Medium
signal_failure,4.15,0.2739,7,0,0,Low
weather_alert,1.64,0.2548,4,1,1,Medium
weather_alert,8.1,0.0795,9,0,1,Low
passenger_emergency,1.16,0.1116,5,0,1,Low
weather_alert,28.57,0.0747,2,0,1,Low
track_fault,5.2,0.1574,4,0,0,Low
passenger_emergency,19.39,0.4323,10,0,0,High
engine_issue,24.55,0.1449,3,1,1,Medium
track_fault,12.87,0.2118,1,1,1,Medium
passenger_emergency,19.85,0.3368,6,1,1,Critical
track_fault,12.52,0.2705,13,1,1,High
signal_failure,6.38,0.1897,12,1,1,High
engine_issue,18.9,0.3529,8,1,0,High
weather_alert,17.52,0.3296,13,1,0,High
signal_failure,2.29,0.4416,4,1,0,High
engine_issue,21.27,0.1775,14,1,0,Medium
signal_failure,6.75,0.1919,1,1,1,Medium
weather_alert,40.24,0.2682,3,1,0,High
engine_issue,27.74,0.1616,18,1,0,High
track_fault,10.83,0.0328,9,1,0,Low
track_fault,14.04,0.3416,11,0,1,High
engine_issue,2.13,0.5308,8,0,0,High
weather_alert,10.11,0.2442,13,0,1,Medium
passenger_emergency,8.77,0.2539,15,0,1,High
engine_issue,6.9,0.1734,15,0,1,Medium
signal_failure,9.21,0.5089,5,1,0,Critical
passenger_emergency,62.19,0.056,12,0,1,High
weather_alert,2.26,0.482,15,1,0,Critical
weather_alert,1.35,0.4781,8,1,1,Critical
signal_failure,9.01,0.2592,8,0,0,Low
track_fault,6.01,0.171,12,0,0,Low
weather_alert,15.55,0.4089,11,1,1,Critical
passenger_emergency,4.21,0.3993,5,0,0,Medium
engine_issue,29.06,0.3019,19,1,0,Critical
passenger_emergency,24.63,0.0694,11,0,1,Low
passenger_emergency,3.12,0.5554,11,1,0,Critical
track_fault,2.02,0.2276,4,1,0,Low
passenger_emergency,16.99,0.3478,13,1,0,High
track_fault,0.51,0.0501,18,0,1,Low
track_fault,4.59,0.0633,14,1,1,Medium
weather_alert,30.13,0.0855,10,0,1,Medium
weather_alert,2.05,0.359,13,1,1,Critical
signal_failure,12.92,0.4906,5,0,0,High
passenger_emergency,9.35,0.0619,2,1,1,Low
signal_failure,49.88,0.2864,13,0,0,High
passenger_emergency,6.84,0.5257,4,0,1,Critical
signal_failure,25.44,0.0393,2,1,1,Low
weather_alert,35.39,0.5448,15,0,0,Critical
weather_alert,2.45,0.1848,9,0,0,Low
weather_alert,9.75,0.5636,17,1,1,Critical
weather_alert,11.17,0.2068,17,0,0,Medium
engine_issue,9.63,0.322,3,1,1,High
weather_alert,26.19,0.2466,15,1,0,High
track_fault,0.76,0.1579,7,1,1,Medium
weather_alert,4.04,0.1477,14,0,0,Low
engine_issue,3.17,0.2176,1,0,0,Low
engine_issue,1.32,0.3203,9,1,1,High
engine_issue,3.89,0.4907,12,1,1,Critical
engine_issue,5.71,0.2199,9,1,1,High
signal_failure,5.88,0.5488,11,0,1,Critical
signal_failure,0.47,0.508,1,0,1,High
track_fault,10.92,0.3093,1,1,0,Medium
signal_failure,2.59,0.2614,12,0,1,Medium
engine_issue,7.93,0.3718,8,0,1,High
weather_alert,9.8,0.1065,11,0,0,Low
weather_alert,13.56,0.111,7,1,1,Medium
engine_issue,7.15,0.2204,1,0,1,Low
passenger_emergency,1.29,0.2197,14,0,1,Medium
engine_issue,0.18,0.3463,3,0,1,Medium
signal_failure,7.48,0.2209,15,1,1,High
weather_alert,23.79,0.5827,1,1,1,Critical
engine_issue,52.5,0.0937,18,1,0,High
weather_alert,19.69,0.3187,5,0,0,Medium
engine_issue,6.64,0.2194,17,0,1,Medium
engine_issue,40.12,0.4899,1,0,0,Critical
signal_failure,35.96,0.6252,9,1,1,Critical
engine_issue,21.79,0.1192,8,1,0,Low
weather_alert,37.01,0.0535,4,0,0,Low
track_fault,20.61,0.2024,10,0,0,Low
weather_alert,11.17,0.2884,5,0,1,Medium
signal_failure,23.24,0.1341,9,1,0,Medium
track_fault,14.92,0.1979,8,1,1,High
engine_issue,34.4,0.227,4,0,1,High
passenger_emergency,3.69,0.4848,15,0,1,Critical
track_fault,2.25,0.0951,10,1,0,Low
track_fault,9.14,0.1588,16,1,0,Medium
engine_issue,1.81,0.1738,16,1,0,Medium
passenger_emergency,9.36,0.3015,5,1,1,High
passenger_emergency,17.02,0.4695,6,1,1,Critical
signal_failure,28.59,0.2516,19,1,1,Critical
track_fault,52.49,0.1926,6,1,1,Critical
passenger_emergency,5.69,0.0897,2,1,1,Low
signal_failure,7.23,0.292,11,0,0,Medium
passenger_emergency,6.57,0.1946,19,0,0,Medium
track_fault,0.7,0.1455,5,0,0,Low
passenger_emergency,2.6,0.1917,13,0,0,Low
track_fault,1.6,0.15,7,0,1,Low
engine_issue,12.35,0.1345,8,1,1,Medium
weather_alert,8.4,0.1641,9,0,1,Low
signal_failure,42.13,0.1917,3,1,1,High
engine_issue,0.43,0.1656,8,1,1,Medium
engine_issue,4.78,0.4122,6,0,0,Medium
