train_density,station_load,time_of_day,route_type,congestion_level
29.08,5610.1,evening,urban,High
26.9,615.9,afternoon,intercity,Low
38.42,9842.6,evening,urban,High
40.77,2284.2,night,urban,Medium
26.0,5070.5,afternoon,suburban,Medium
39.19,3557.3,afternoon,suburban,Medium
40.01,3644.9,afternoon,urban,High
30.14,1753.1,morning,intercity,Low
21.02,6136.8,evening,urban,High
33.89,3976.1,evening,urban,High
31.75,5650.9,night,urban,Medium
42.16,7665.1,night,suburban,Medium
36.48,7630.5,morning,intercity,High
26.92,3781.7,afternoon,suburban,Medium
48.24,3203.9,morning,suburban,High
23.97,6104.9,afternoon,urban,High
40.74,6734.2,night,intercity,Low
43.4,8415.7,evening,suburban,High
31.86,7177.4,evening,urban,High
3.3,1199.8,afternoon,suburban,Low
3.69,8296.6,afternoon,suburban,Medium
6.87,5857.4,evening,urban,Medium
35.41,6103.6,evening,urban,High
3.16,5940.6,evening,intercity,Low
35.31,6430.5,morning,suburban,High
21.57,1657.1,night,urban,Low
19.1,724.1,morning,suburban,Low
8.54,1967.4,morning,intercity,Low
6.21,9771.0,morning,suburban,High
7.14,8270.7,evening,urban,High
39.11,561.4,evening,urban,Medium
9.55,511.4,evening,urban,Low
35.78,2196.4,morning,suburban,Medium
35.39,3109.5,morning,suburban,Medium
26.62,9892.6,afternoon,urban,High
48.06,4033.4,morning,urban,High
19.29,257.8,morning,urban,Low
2.74,7558.7,night,intercity,Low
25.28,926.4,afternoon,intercity,Low
10.92,3899.5,afternoon,urban,Low
7.09,6664.6,afternoon,suburban,Low
49.63,4012.6,night,urban,Medium
18.56,9435.5,evening,suburban,High
34.92,9537.8,afternoon,urban,High
11.31,2000.7,evening,suburban,Low
1.66,2947.1,night,intercity,Low
48.76,993.1,afternoon,intercity,Medium
36.44,6086.8,morning,urban,High
35.65,5530.5,afternoon,suburban,Medium
41.1,9411.0,evening,suburban,High
16.64,4588.8,afternoon,intercity,Low
22.38,2080.5,evening,intercity,Low
19.37,6911.3,morning,urban,High
43.84,8666.0,afternoon,suburban,High
16.48,6968.7,afternoon,intercity,Medium
17.69,6118.6,morning,intercity,Medium
37.79,8014.3,morning,urban,High
31.0,899.8,afternoon,suburban,Low
26.98,9729.7,morning,intercity,High
7.92,7611.5,night,intercity,Low
19.77,7447.9,evening,urban,High
45.06,5032.1,afternoon,intercity,Medium
5.74,5747.4,night,urban,Low
40.79,9160.5,morning,suburban,High
34.16,9355.4,morning,intercity,High
6.59,4943.6,night,suburban,Low
40.36,3062.7,night,suburban,Low
25.56,6160.4,afternoon,suburban,Medium
21.03,6678.5,afternoon,intercity,Medium
