distance,weather,congestion_level,previous_delay,train_type,delay_minutes
253.9,clear,High,32.31,freight,27.42
523.6,clear,Medium,7.78,freight,17.37
817.5,clear,Low,25.23,passenger,21.33
1938.7,rain,Low,26.25,freight,26.03
333.0,clear,Medium,10.64,passenger,12.33
1716.0,clear,Medium,3.73,passenger,12.04
334.5,rain,Low,2.23,passenger,16.2
682.5,rain,Low,5.64,express,9.77
1358.7,clear,Medium,1.11,freight,16.02
1236.9,fog,Medium,11.53,express,16.27
1910.3,clear,Medium,17.85,passenger,17.92
828.7,rain,High,13.64,passenger,26.5
1879.9,clear,Medium,5.32,express,9.79
1854.2,rain,Low,19.1,passenger,24.81
1434.0,storm,Medium,13.69,passenger,31.94
48.7,clear,Low,5.41,passenger,9.47
1596.8,clear,Medium,5.52,express,14.59
1802.5,clear,Low,11.66,express,16.7
1052.5,clear,Medium,8.35,passenger,12.55
402.4,fog,Low,8.84,passenger,15.74
369.8,clear,Medium,13.17,express,10.37
1692.3,clear,Medium,41.47,freight,34.29
183.6,rain,Low,16.49,freight,18.83
1097.0,clear,Medium,2.8,passenger,10.07
414.8,clear,High,18.0,freight,23.36
609.5,clear,Medium,1.99,express,8.83
1954.5,clear,Medium,40.68,freight,27.94
560.5,rain,Medium,10.19,freight,21.46
1370.2,rain,Low,7.45,express,10.29
1537.1,clear,Medium,10.74,express,12.9
583.6,clear,Low,24.95,express,14.89
301.7,clear,Low,11.06,passenger,10.59
1546.6,rain,Medium,32.79,freight,29.86
912.7,clear,Low,0.43,express,5.6
582.9,clear,Low,5.09,passenger,9.62
431.1,rain,Low,3.38,passenger,10.44
1967.4,clear,Medium,33.0,freight,27.04
1296.2,clear,Low,7.96,passenger,16.78
1050.9,rain,High,1.01,express,11.46
237.2,clear,High,17.06,passenger,16.18
1825.8,storm,Low,4.1,passenger,22.14
672.2,storm,Medium,2.64,freight,46.87
1583.6,rain,Low,13.86,express,14.27
1811.6,clear,Medium,13.62,freight,26.99
419.6,storm,High,3.63,passenger,34.01
1956.1,rain,Medium,2.76,passenger,22.61
1789.5,rain,Low,6.92,express,10.69
1136.6,clear,High,28.7,express,16.98
1451.4,storm,Low,5.16,freight,29.91
562.0,rain,High,5.72,passenger,18.89
1450.2,rain,Low,1.49,express,12.05
868.0,fog,Low,9.88,freight,21.24
657.7,storm,Medium,3.14,express,19.16
1396.8,rain,Medium,0.67,freight,20.41
772.4,clear,Low,27.87,freight,19.54
1412.0,rain,High,34.61,freight,38.97
1704.5,clear,Medium,4.28,freight,28.97
548.9,clear,Low,2.26,express,7.13
420.9,clear,Low,2.22,passenger,8.03
647.5,rain,Low,14.67,passenger,14.44
853.3,clear,Medium,11.23,express,16.03
1459.6,storm,Low,10.36,freight,32.33
880.6,clear,Medium,14.51,passenger,13.4
1390.0,fog,Low,3.57,passenger,15.7
1990.8,clear,Low,27.24,express,15.49
475.1,fog,Low,23.28,freight,26.13
1519.3,storm,High,3.09,passenger,42.91
958.8,clear,Medium,10.11,express,9.49
842.2,clear,Low,9.6,passenger,9.81
1207.3,clear,Medium,12.54,express,13.75
245.1,clear,Medium,1.32,express,10.2
637.6,clear,Medium,19.81,freight,22.5
555.2,fog,Medium,7.04,express,11.82
1224.8,clear,Medium,0.44,passenger,9.59
457.7,clear,High,4.29,passenger,13.61
104.3,rain,Low,26.46,express,13.17
90.9,clear,Low,6.49,freight,17.01
1551.3,clear,Low,7.67,express,11.93
1370.8,rain,Low,21.69,passenger,20.83
1700.6,clear,Medium,4.11,express,10.09
1357.6,fog,Low,31.77,passenger,26.84
114.0,fog,High,14.56,passenger,25.39
1405.3,clear,High,10.31,passenger,20.6
1098.5,clear,Low,2.73,passenger,11.21
1924.0,clear,Medium,4.01,passenger,17.95
467.3,clear,High,0.91,express,14.1
164.8,fog,High,13.81,express,16.88
1667.5,rain,Medium,6.28,express,12.05
851.1,storm,Medium,8.76,express,17.7
945.2,storm,Low,4.59,freight,27.7
1436.7,fog,Low,16.55,freight,32.21
374.0,clear,Low,7.12,freight,11.17
907.5,clear,Low,18.0,express,11.06
1606.6,clear,High,14.85,passenger,17.91
1192.2,rain,Low,6.64,express,10.67
1807.3,clear,Medium,42.58,express,41.36
1732.1,clear,High,2.75,freight,20.94
554.3,storm,High,1.77,passenger,32.59
1593.6,rain,Medium,0.03,freight,23.46
1275.9,clear,Low,4.26,freight,15.51
251.0,fog,High,40.14,passenger,32.62
534.6,clear,Medium,0.43,freight,12.65
1510.0,clear,Low,1.1,passenger,9.97
1693.4,rain,Medium,4.04,passenger,19.25
318.7,clear,Medium,0.93,freight,12.49
1411.1,rain,Medium,6.32,passenger,16.34
658.5,rain,Medium,2.81,passenger,26.54
375.2,clear,Low,1.02,express,6.44
206.2,clear,Medium,18.3,freight,20.78
206.5,rain,Medium,6.68,freight,20.76
931.3,rain,Medium,6.53,freight,22.73
241.1,clear,Low,1.09,express,5.4
1215.9,clear,Low,2.57,express,6.41
1651.9,storm,Low,5.26,freight,31.03
850.8,storm,Low,3.45,passenger,19.37
1243.1,clear,Medium,4.33,passenger,12.7
1674.3,rain,Medium,8.65,passenger,16.92
1649.9,rain,High,19.1,express,32.73
633.9,clear,Medium,1.67,freight,12.99
1135.8,rain,Medium,6.63,passenger,18.3
955.4,clear,Low,15.4,freight,15.14
248.5,fog,Medium,26.39,express,20.19
407.5,clear,High,29.88,freight,30.49
177.8,clear,Low,1.85,freight,9.49
452.3,rain,Low,8.62,express,10.41
1916.2,clear,Low,6.33,express,10.06
1814.8,clear,Medium,6.69,passenger,13.32
1648.5,rain,Medium,16.8,express,14.77
1694.5,clear,High,6.9,freight,28.22
1839.7,clear,Low,2.05,freight,13.94
384.4,clear,Low,16.55,freight,16.89
1165.3,clear,Low,6.66,passenger,10.34
759.3,storm,High,3.75,freight,50.88
393.1,fog,Medium,15.77,freight,29.18
282.3,storm,High,1.88,passenger,37.68
1738.3,rain,Medium,2.73,freight,23.98
1280.3,storm,High,7.65,passenger,35.01
1419.3,clear,High,8.33,passenger,19.27
1783.1,clear,Medium,4.07,passenger,18.57
385.3,clear,Low,10.27,express,9.09
1986.0,clear,Low,0.9,passenger,9.7
987.7,fog,High,2.88,passenger,27.54
694.6,rain,Medium,3.62,express,9.16
1875.4,clear,Low,18.36,passenger,14.86
528.6,clear,Medium,5.61,express,8.44
1720.1,clear,High,0.19,freight,20.75
332.6,clear,Low,36.39,passenger,17.23
1205.0,rain,High,25.2,express,19.45
1244.5,clear,High,20.36,express,15.1
671.7,storm,Low,9.17,freight,31.9
1226.0,clear,Medium,7.88,express,9.63
1880.9,rain,High,3.84,passenger,20.99
753.1,clear,Low,27.23,express,15.1
247.3,fog,Medium,6.15,freight,24.91
921.0,clear,Low,10.45,freight,17.37
213.8,rain,Medium,1.93,passenger,12.6
1319.8,rain,Low,1.79,express,8.93
1481.8,rain,High,5.75,passenger,22.16
80.5,storm,Low,6.02,passenger,22.22
1663.4,clear,Low,7.75,freight,16.7
1374.3,rain,Low,5.59,passenger,13.82
897.4,clear,Low,3.41,freight,20.55
21.5,storm,Low,1.04,passenger,16.71
365.6,clear,Medium,0.5,freight,18.58
916.0,storm,Low,6.36,passenger,22.01
1627.0,clear,Low,2.99,express,10.41
100.8,storm,Medium,3.53,passenger,23.16
1397.1,rain,High,5.63,passenger,21.3
44.3,clear,Medium,11.09,passenger,10.82
1068.4,clear,Medium,7.3,passenger,11.59
575.9,clear,Medium,22.11,express,13.0
1561.1,fog,High,6.59,express,17.45
317.5,fog,Low,1.14,passenger,19.44
1701.6,fog,Low,6.54,passenger,15.45
1517.7,fog,Low,7.84,freight,28.33
1951.8,clear,Medium,0.6,freight,15.86
1098.1,fog,Medium,1.94,passenger,16.93
448.8,fog,Low,1.57,freight,19.45
1488.2,fog,Medium,8.91,passenger,20.47
1076.3,clear,High,27.02,passenger,32.91
53.2,rain,Medium,2.63,passenger,12.46
370.0,clear,Medium,12.01,freight,18.7
487.0,rain,Low,31.78,express,22.24
