temperature,vibration,usage_hours,last_service_days,fault_history,risk_score,status
78.66,1.8979,33096.1,344,9,43.37,Critical
85.17,0.688,22681.6,336,0,39.73,Warning
66.22,1.051,3140.9,258,6,29.07,Healthy
61.37,3.2545,19496.0,334,7,41.5,Warning
45.12,2.0571,24793.0,96,1,27.88,Healthy
89.57,2.0845,20719.3,14,9,37.61,Warning
75.25,1.5382,20087.7,163,11,35.89,Warning
78.09,1.5047,47184.0,242,3,47.18,Critical
63.25,0.7175,39477.7,191,13,43.35,Critical
93.4,3.4642,9268.1,260,0,34.75,Warning
89.15,3.3905,41582.2,163,1,43.32,Critical
73.17,0.1229,34646.1,170,7,35.99,Warning
66.66,3.6151,36384.2,320,12,52.89,Critical
69.65,2.6258,4514.6,16,10,25.09,Healthy
63.02,2.8888,44840.8,317,0,44.21,Critical
75.4,1.2403,30953.9,298,4,38.61,Warning
65.76,0.2768,9131.4,267,1,35.09,Warning
83.78,1.1986,13788.4,336,6,37.7,Warning
69.61,2.0674,44780.0,137,8,46.15,Critical
69.69,2.6246,27168.0,188,8,37.88,Warning
98.06,2.305,28177.5,188,2,42.2,Critical
64.11,0.1529,7955.7,88,14,26.1,Healthy
51.48,3.0364,31491.5,70,4,31.16,Healthy
80.49,0.7306,45067.3,127,5,43.07,Critical
43.83,0.5663,30691.2,50,7,24.59,Healthy
78.97,0.4521,19949.5,202,4,26.38,Healthy
89.73,5.4521,28465.8,185,10,48.49,Critical
76.05,0.1363,26901.2,259,5,37.54,Warning
75.14,0.2689,40079.6,208,8,39.51,Warning
44.24,1.2879,13714.2,220,3,21.1,Healthy
83.33,0.5539,16719.8,107,8,37.73,Warning
80.94,0.7621,47040.8,267,12,56.09,Critical
57.42,0.2894,4406.5,277,14,33.25,Healthy
103.7,1.3664,14955.3,314,3,42.4,Critical
56.64,5.1684,32865.2,253,1,39.9,Warning
49.81,0.1978,25119.8,241,9,41.85,Warning
47.83,3.5847,46123.1,7,0,29.81,Healthy
75.39,0.4776,48326.5,336,8,48.84,Critical
80.07,2.1156,32405.6,122,7,38.73,Warning
81.61,1.0023,21929.1,95,7,33.72,Healthy
69.94,5.0147,12873.3,258,12,41.17,Warning
62.81,0.191,33303.2,348,7,44.52,Critical
87.64,3.118,17963.1,267,8,44.72,Critical
61.54,2.527,34915.7,343,11,46.89,Critical
56.85,1.1884,31661.0,329,9,41.11,Warning
96.02,6.0862,27100.5,293,11,52.87,Critical
77.66,0.5954,8311.5,218,2,27.09,Healthy
82.07,1.2216,32267.6,189,3,38.58,Warning
84.39,1.9704,31608.5,34,10,37.47,Warning
66.42,6.0669,32634.0,206,2,38.0,Warning
67.01,6.6034,6975.5,132,5,31.14,Healthy
84.61,1.8065,31993.8,218,14,45.45,Critical
65.74,0.9594,28310.9,344,3,41.14,Warning
80.04,2.6356,16890.0,174,14,38.97,Warning
73.66,1.3534,45715.1,354,5,46.58,Critical
57.09,0.4723,47227.6,142,11,48.06,Critical
89.5,0.4122,6601.0,112,9,32.12,Healthy
55.66,1.9833,31244.4,31,3,24.93,Healthy
78.49,2.8423,8482.8,20,10,35.49,Warning
76.0,2.2504,40877.3,219,8,47.16,Critical
94.0,1.863,10500.5,273,2,41.11,Warning
58.21,2.8315,40944.4,156,5,38.56,Warning
66.85,0.9739,12793.1,362,5,33.87,Healthy
73.5,2.4507,33135.1,24,0,32.25,Healthy
77.71,1.1349,37348.5,290,2,39.76,Warning
88.03,0.0965,33189.4,363,6,48.42,Critical
79.67,0.5528,41585.5,245,4,46.32,Critical
75.37,0.6771,19277.9,46,11,31.98,Healthy
90.43,0.5539,47733.1,72,2,35.19,Warning
106.44,0.3983,24625.2,88,0,33.88,Warning
54.67,2.5148,15321.9,276,11,36.66,Warning
74.91,7.002,7584.8,294,13,46.31,Critical
86.39,1.889,30740.5,291,11,47.85,Critical
76.29,0.1229,40547.2,151,11,40.06,Warning
96.52,0.0328,24824.0,312,8,45.11,Critical
69.99,3.6499,45271.8,274,2,45.25,Critical
59.79,3.3086,46759.3,90,8,37.55,Warning
88.06,0.2207,18136.6,291,7,42.84,Critical
33.41,0.6358,15143.3,280,8,26.5,Healthy
67.86,2.3862,5510.6,134,9,25.61,Healthy
110.49,7.0985,30533.9,183,14,62.21,Critical
75.39,1.7419,28817.8,186,10,39.7,Warning
80.37,0.4033,28630.1,351,4,39.25,Warning
60.73,0.8409,15181.7,124,8,25.98,Healthy
74.65,3.2582,412.9,271,11,33.6,Healthy
72.87,0.4363,31087.9,47,1,25.02,Healthy
102.88,0.0633,18305.6,109,11,40.18,Warning
